['0', '7', '4', '25']
['1', '8', '15', '18']
['106', '81', '108', '90']
['113', '128', '133', '101']
['121', '125', '130', '120']
['123', '104', '109', '111']
['126', '114', '89', '103']
['127', '139', '147', '160']
['132', '100', '107', '117']
['134', '136', '140', '143']
['137', '144', '129', '138']
['14', '33', '34', '23']
['141', '135', '131', '142']
['145', '148', '150', '151']
['146', '149', '152', '124']
['154', '161', '155', '159']
['156', '157', '153', '163']
['158', '178', '184', '190']
['164', '175', '179', '181']
['166', '168', '169', '170']
['167', '173', '162', '165']
['17', '24', '6', '26']
['171', '172', '174', '182']
['177', '180', '188', '186']
['183', '189', '197', '192']
['19', '41', '50', '61']
['191', '200', '196', '199']
['193', '207', '195', '198']
['194', '185', '187', '176']
['2', '20', '21', '5']
['206', '209', '204', '205']
['208', '211', '201', '202']
['210', '216', '219', '218']
['212', '213', '217', '203']
['22', '45', '66', '38']
['221', '214', '215', '223']
['224', '233', '222', '226']
['228', '236', '227', '231']
['232', '229', '235', '237']
['234', '242', '244', '246']
['238', '225', '230', '240']
['239', '243', '241', '245']
['247', '248', '55', '110']
['249', '220']
['28', '30', '40', '42']
['3', '9', '12', '13']
['31', '11', '10', '29']
['37', '27', '43', '63']
['46', '36', '32', '39']
['47', '48', '56', '35']
['49', '53', '60', '62']
['52', '57', '64', '16']
['54', '76', '80', '67']
['70', '87', '58', '77']
['71', '51', '84', '65']
['73', '69', '44', '68']
['74', '78', '75', '92']
['79', '102', '59', '72']
['85', '112', '116', '119']
['88', '94', '95', '97']
['91', '98', '83', '93']
['96', '115', '122', '118']
['99', '82', '86', '105']
