['1', '9', '17', '25']
['10', '11', '13', '16']
['103', '111', '119', '127']
['106', '107', '109', '112']
['114', '115', '117', '120']
['118', '126', '134', '142']
['122', '123', '125', '128']
['129', '137', '145', '153']
['130', '131', '133', '136']
['135', '143', '151', '159']
['138', '139', '141', '144']
['146', '147', '149', '152']
['150', '158', '166', '174']
['154', '155', '157', '160']
['161', '169', '177', '185']
['162', '163', '165', '168']
['167', '175', '183', '191']
['170', '171', '173', '176']
['178', '179', '181', '184']
['18', '19', '21', '24']
['182', '190', '198', '206']
['186', '187', '189', '192']
['193', '201', '209', '217']
['194', '195', '197', '200']
['199', '207', '215', '223']
['2', '3', '5', '8']
['202', '203', '205', '208']
['210', '211', '213', '216']
['214', '222', '230', '238']
['218', '219', '221', '224']
['22', '30', '38', '46']
['225', '233', '241', '249']
['226', '227', '229', '232']
['231', '239', '247', '255']
['234', '235', '237', '240']
['242', '243', '245', '248']
['246', '254', '262', '270']
['250', '251', '253', '256']
['257', '265', '273', '281']
['258', '259', '261', '264']
['26', '27', '29', '32']
['263', '271', '279', '287']
['266', '267', '269', '272']
['274', '275', '277', '280']
['278', '286', '294', '302']
['282', '283', '285', '288']
['289', '297', '305', '313']
['290', '291', '293', '296']
['295', '303', '311', '319']
['298', '299', '301', '304']
['306', '307', '309', '312']
['310', '318', '326', '334']
['314', '315', '317', '320']
['321', '329', '337', '345']
['322', '323', '325', '328']
['327', '335', '343', '351']
['33', '41', '49', '57']
['330', '331', '333', '336']
['338', '339', '341', '344']
['34', '35', '37', '40']
['342', '350', '358', '366']
['346', '347', '349', '352']
['353', '361', '369', '377']
['354', '355', '357', '360']
['359', '367', '375', '383']
['362', '363', '365', '368']
['370', '371', '373', '376']
['374', '382', '390', '398']
['378', '379', '381', '384']
['385', '393', '401', '409']
['386', '387', '389', '392']
['39', '47', '55', '63']
['391', '399', '407', '415']
['394', '395', '397', '400']
['402', '403', '405', '408']
['406', '414', '422', '430']
['410', '411', '413', '416']
['417', '425', '433', '441']
['418', '419', '421', '424']
['42', '43', '45', '48']
['423', '4', '12', '20']
['426', '427', '429', '432']
['431', '28', '36', '44']
['434', '435', '437', '440']
['436', '52', '60', '68']
['438', '446', '454', '462']
['439', '76', '84', '92']
['442', '443', '445', '448']
['444', '100', '108', '116']
['447', '124', '132', '140']
['449', '457', '465', '473']
['450', '451', '453', '456']
['452', '148', '156', '164']
['455', '172', '180', '188']
['458', '459', '461', '464']
['460', '196', '204', '212']
['463', '220', '228', '236']
['466', '467', '469', '472']
['468', '244', '252', '260']
['470', '478', '486', '0']
['471', '268', '276', '284']
['474', '475', '477', '480']
['476', '292', '300', '308']
['479', '316', '324', '332']
['481', '489', '6', '14']
['482', '483', '485', '488']
['484', '340', '348', '356']
['487', '364', '372', '380']
['490', '491', '493', '494']
['492', '388', '396', '404']
['495', '412', '420', '428']
['50', '51', '53', '56']
['54', '62', '70', '78']
['58', '59', '61', '64']
['65', '73', '81', '89']
['66', '67', '69', '72']
['7', '15', '23', '31']
['71', '79', '87', '95']
['74', '75', '77', '80']
['82', '83', '85', '88']
['86', '94', '102', '110']
['90', '91', '93', '96']
['97', '105', '113', '121']
['98', '99', '101', '104']
