['105', '38', '101', '37', '29', '14', '43', '65', '104', '58', '11', '17', '21', '88', '158', '85', '113', '48', '1', '49', '52', '123', '23']
['130', '150', '90', '79', '82', '26', '190', '30', '75', '152', '143', '50', '77', '133', '197', '103', '109', '60', '106', '126', '147', '54', '183']
['15', '33', '34', '10', '28', '19', '87', '2', '13', '92', '3', '97', '36', '68', '73', '0', '102', '12', '7', '61', '27', '31', '51']
['162', '135', '171', '172', '116', '132', '151', '124', '40', '121', '169', '202', '212', '271', '142', '209', '224', '242', '254', '122', '163', '179', '80']
['165', '216', '201', '76', '144', '111', '199', '114', '206', '262', '270', '217', '259', '182', '187', '264', '138', '204', '233', '181', '239', '282', '191']
['166', '22', '57', '229', '42', '194', '214', '245', '110', '186', '195', '205', '211', '71', '148', '174', '178', '215', '128', '168', '180', '89', '223']
['203', '9', '56', '125', '232', '67', '99', '145', '84', '157', '98', '112', '155', '160', '167', '63', '196', '35', '81', '149', '153', '93', '141']
['247', '255', '243', '294', '185', '317', '225', '278', '170', '198', '235', '318', '208', '261', '314', '154', '156', '263', '281', '234', '266', '283', '309']
['257', '291', '175', '246', '316', '228', '236', '250', '269', '260', '312', '222', '285', '273', '268', '207', '275', '329', '311', '361', '265', '253', '299']
['300', '363', '289', '320', '298', '248', '274', '295', '322', '348', '353', '310', '313', '325', '349', '340', '303', '332', '354', '277', '326', '357', '336']
['338', '287', '323', '328', '226', '356', '334', '284', '307', '292', '347', '341', '372', '413', '331', '346', '351', '344', '405', '367', '376', '337', '396']
['378', '422', '210', '360', '408', '327', '411', '390', '419', '404', '415', '421', '434', '427', '444', '418', '429', '423', '221', '449', '417', '457', '462']
['455', '448', '473', '485', '489', '488', '25', '118', '64', '39', '173', '193', '107', '276', '159', '227', '192', '184', '249', '290', '115', '218', '241']
['492', '200', '161', '272', '213', '267', '230', '301', '219', '220', '240', '293', '238', '244', '251', '188', '370', '258', '256', '176', '308', '355', '164']
['493', '280', '286', '231', '237', '306', '330', '335', '279', '350', '252', '345', '366', '297', '339', '373', '342', '319', '288', '304', '377', '333', '352']
['494', '364', '302', '343', '358', '324', '394', '398', '315', '368', '384', '371', '380', '391', '321', '399', '382', '362', '369', '395', '393', '359', '365']
['495', '379', '383', '385', '374', '389', '407', '386', '400', '305', '410', '416', '381', '296', '375', '402', '406', '401', '436', '387', '388', '397', '409']
['496', '414', '412', '424', '428', '403', '431', '446', '392', '426', '433', '425', '420', '430', '439', '441', '445', '450', '432', '437', '451', '435', '438']
['497', '442', '453', '456', '443', '447', '452', '458', '461', '465', '470', '454', '459', '463', '477', '440', '466', '474', '476', '467', '471', '475', '460']
['498', '472', '469', '464', '468', '479', '484', '478', '481', '482', '480', '490', '491', '483', '486', '487']
['499']
['62', '108', '146', '44', '59', '72', '55', '41', '46', '5', '136', '127', '8', '134', '189', '16', '177', '20', '45', '137', '140', '94', '95']
['70', '32', '78', '83', '4', '47', '74', '18', '24', '69', '131', '53', '120', '6', '117', '139', '66', '96', '100', '129', '91', '86', '119']
