['104', '154', '116', '667', '521', '455', '25', '600', '229', '495', '576', '623', '680', '777', '331', '613', '666', '775', '503', '624', '541', '422', '772', '50', '125', '41', '0', '631', '52', '664', '290', '100', '695', '417', '512', '657', '253', '191', '346', '569', '64', '76', '704', '214', '607', '138', '465', '601', '251', '402']
['164', '457', '89', '202', '408', '684', '674', '564', '368', '717', '31', '492', '268', '410', '500', '301', '663', '421', '707', '637', '78', '709', '686', '190', '489', '225', '244', '540', '614', '10', '757', '609', '352', '314', '534', '602', '180', '615', '490', '237', '729', '2', '203', '501', '526', '169', '409', '107', '651', '591']
['186', '14', '210', '494', '65', '357', '44', '736', '463', '115', '313', '743', '632', '456', '246', '477', '284', '562', '334', '205', '524', '423', '98', '652', '34', '710', '767', '265', '681', '359', '380', '459', '396', '339', '17', '582', '647', '452', '277', '42', '250', '3', '63', '286', '239', '254', '344', '519', '105', '273']
['189', '26', '312', '592', '356', '119', '461', '542', '382', '46', '228', '128', '789', '610', '605', '45', '739', '754', '784', '561', '720', '308', '56', '102', '47', '386', '583', '731', '766', '516', '791', '289', '760', '55', '420', '117', '746', '780', '504', '424', '558', '37', '18', '467', '127', '400', '151', '745', '645', '559']
['201', '211', '515', '160', '83', '118', '732', '448', '794', '438', '204', '419', '197', '585', '264', '111', '458', '549', '546', '177', '622', '595', '491', '589', '721', '724', '379', '603', '446', '579', '719', '416', '226', '19', '470', '574', '525', '135', '97', '788', '343', '433', '659', '285', '260', '61', '71', '139', '91', '688']
['227', '106', '629', '537', '792', '330', '20', '702', '548', '39', '194', '167', '440', '678', '447', '638', '223', '529', '319', '337', '786', '95', '533', '599', '303', '397', '442', '240', '700', '377', '658', '350', '539', '642', '383', '538', '143', '460', '621', '399', '751', '299', '619', '755', '235', '508', '654', '86', '338', '23']
['230', '701', '159', '241', '389', '606', '443', '532', '371', '16', '469', '764', '414', '199', '723', '453', '406', '103', '121', '300', '32', '161', '407', '711', '730', '517', '85', '295', '568', '238', '62', '293', '650', '77', '473', '705', '87', '556', '496', '72', '247', '627', '765', '309', '488', '7', '759', '11', '152', '126']
['233', '796', '172', '175', '449', '742', '67', '441', '575', '656', '394', '451', '635', '761', '113', '644', '144', '434', '101', '158', '779', '439', '630', '335', '427', '634', '255', '587', '193', '258', '269', '432', '462', '43', '471', '497', '522', '577', '60', '318', '604', '69', '590', '785', '219', '708', '185', '586', '21', '181']
['259', '551', '482', '73', '349', '155', '183', '597', '593', '75', '703', '758', '372', '110', '520', '12', '643', '171', '207', '412', '81', '677', '776', '137', '36', '528', '670', '322', '484', '507', '530', '436', '130', '252', '329', '90', '468', '195', '660', '4', '361', '109', '523', '718', '625', '170', '668', '141', '292', '358']
['262', '348', '218', '297', '401', '398', '768', '68', '479', '570', '306', '714', '142', '781', '560', '324', '363', '59', '426', '797', '750', '790', '536', '261', '174', '740', '626', '336', '366', '376', '390', '782', '283', '173', '208', '395', '691', '342', '92', '347', '149', '483', '94', '493', '393', '278', '676', '274', '147', '499']
['280', '123', '340', '404', '544', '212', '70', '527', '639', '321', '341', '584', '734', '778', '148', '74', '267', '773', '287', '669', '198', '662', '216', '222', '653', '618', '66', '616', '502', '430', '282', '57', '206', '304', '756', '611', '744', '353', '354', '242', '692', '557', '271', '464', '387', '392', '224', '328', '317', '737']
['298', '232', '415', '215', '184', '38', '498', '567', '689', '325', '8', '275', '362', '640', '156', '598', '725', '176', '699', '24', '311', '506', '555', '249', '388', '391', '553', '727', '713', '28', '82', '696', '131', '636', '596', '6', '134', '192', '649', '753', '543', '762', '369', '88', '679', '687', '749', '29', '671', '565']
['511', '120', '84', '795', '355', '374', '114', '373', '793', '187', '220', '505', '425', '428', '608', '200', '140', '385', '641', '302', '132', '690', '281', '133', '99', '405', '478', '33', '256', '168', '552', '234', '661', '166', '49', '53', '96', '487', '108', '157', '798', '566', '733', '774', '221', '450', '360', '326', '706', '54']
['617', '294', '480', '411', '563', '136', '13', '771', '685', '153', '266', '150', '435', '770', '741', '481', '5', '263', '518', '213', '381', '429', '80', '315', '375', '735', '364', '30', '345', '799', '673', '124', '276', '578', '769', '571', '665', '35', '40', '476', '722', '748', '323', '291', '179', '165', '182', '79', '683', '783']
['738', '248', '675', '581', '316', '163', '333', '545', '305', '550', '15', '716', '288', '332', '231', '431', '573', '245', '257', '413', '712', '272', '51', '122', '445', '437', '365', '9', '728', '763', '594', '694', '236', '270', '715', '217', '367', '514', '351', '510', '466', '628', '27', '93', '612', '646', '547', '307', '535', '655']
['747', '162', '588', '580', '672', '513', '327', '509', '633', '243', '22', '1', '384', '112', '620', '698', '178', '472', '129', '146', '58', '310', '403', '378', '320', '485', '209', '444', '531', '697', '418', '188', '572', '475', '648', '787', '682', '370', '474', '752', '454', '296', '145', '554', '693', '726', '279', '196', '48', '486']
