['109', '213', '492', '310', '128', '193', '461', '161', '207', '40']
['112', '52', '83', '488', '176', '203', '79', '143', '229', '132']
['122', '140', '269', '234', '244', '370', '337', '195', '300', '308']
['125', '178', '102', '284', '430', '451', '92', '484', '200', '263']
['129', '346', '382', '147', '115', '24', '385', '241', '292', '54']
['149', '443', '191', '392', '222', '295', '265', '403', '260', '343']
['163', '351', '376', '420', '49', '344', '254', '130', '33', '220']
['182', '397', '390', '97', '253', '412', '4', '136', '123', '171']
['187', '293', '296', '137', '303', '468', '1', '65', '333', '47']
['194', '42', '165', '90', '450', '157', '480', '321', '58', '118']
['196', '142', '299', '192', '404', '315', '358', '156', '357', '360']
['20', '199', '377', '71', '86', '181', '309', '170', '95', '16']
['223', '2', '453', '395', '338', '342', '350', '456', '108', '119']
['226', '425', '11', '99', '13', '94', '18', '46', '63', '134']
['248', '372', '85', '131', '330', '243', '286', '349', '294', '103']
['249', '261', '238', '481', '98', '96', '438', '160', '100', '475']
['256', '469', '421', '23', '339', '70', '72', '162', '367', '454']
['26', '497', '8', '427', '151', '411', '306', '197', '231', '298']
['267', '393', '150', '316', '0', '211', '167', '391', '264', '459']
['270', '472', '448', '383', '114', '133', '55', '15', '496', '364']
['273', '285', '124', '436', '169', '416', '354', '27', '363', '21']
['276', '307', '111', '76', '17', '60', '319', '417', '235', '246']
['277', '460', '212', '41', '121', '57', '138', '375', '144', '66']
['28', '228', '206', '188', '366', '322', '302', '43', '215', '237']
['282', '214', '317', '356', '107', '93', '245', '465', '313', '101']
['287', '105', '186', '53', '361', '240', '262', '153', '281', '271']
['289', '415', '409', '10', '359', '455', '120', '304', '485', '80']
['297', '116', '168', '280', '374', '172', '255', '68', '422', '227']
['312', '458', '290', '155', '434', '345', '369', '414', '394', '135']
['32', '29', '141', '331', '38', '314', '407', '437', '495', '457']
['326', '6', '380', '219', '145', '166', '148', '388', '84', '3']
['347', '221', '233', '183', '318', '179', '39', '433', '9', '113']
['348', '432', '389', '413', '466', '51', '239', '236', '378', '410']
['352', '311', '252', '275', '56', '279', '408', '272', '335', '464']
['365', '447', '384', '478', '402', '198', '431', '291', '362', '332']
['368', '247', '242', '334', '154', '491', '48', '175', '69', '104']
['379', '328', '251', '257', '59', '110', '91', '301', '441', '373']
['399', '45', '398', '208', '209', '396', '445', '117', '278', '177']
['418', '44', '127', '12', '184', '146', '259', '224', '185', '329']
['435', '493', '429', '22', '405', '487', '67', '37', '216', '424']
['439', '61', '173', '217', '126', '62', '371', '34', '440', '89']
['446', '82', '426', '341', '490', '159', '14', '386', '305', '210']
['452', '87', '400', '7', '401', '355', '36', '258', '406', '324']
['462', '266', '387', '189', '75', '476', '106', '428', '35', '174']
['471', '470', '225', '474', '320', '30', '180', '449', '467', '327']
['477', '381', '274', '483', '268', '202', '164', '283', '479', '152']
['482', '463', '64', '139', '205', '489', '19', '190', '232', '74']
['486', '494', '201', '250', '73', '5', '204', '25', '230', '158']
['81', '442', '419', '423', '340', '31', '218', '78', '353', '336']
['88', '499', '323', '77', '50', '473', '444', '498', '325', '288']
