['104', '868', '350', '191', '743', '570', '991', '939', '124', '41', '689', '849', '257', '234', '282', '524', '146', '773', '494', '988']
['117', '678', '51', '435', '893', '714', '206', '87', '380', '196', '189', '94', '647', '617', '824', '237', '208', '985', '760', '999']
['131', '31', '478', '116', '801', '348', '812', '223', '211', '873', '707', '262', '454', '534', '320', '881', '418', '405', '43', '200']
['140', '136', '316', '909', '514', '694', '231', '17', '246', '531', '64', '634', '315', '994', '538', '582', '475', '822', '557', '935']
['148', '606', '497', '827', '907', '899', '813', '305', '204', '865', '839', '372', '512', '333', '256', '70', '65', '187', '129', '979']
['152', '605', '421', '509', '834', '793', '604', '506', '119', '328', '252', '476', '811', '422', '706', '360', '499', '439', '58', '20']
['157', '863', '768', '54', '560', '398', '799', '183', '437', '696', '540', '420', '69', '464', '901', '912', '800', '84', '137', '342']
['166', '929', '796', '956', '651', '861', '274', '105', '442', '788', '730', '452', '761', '60', '6', '259', '40', '544', '775', '73']
['198', '123', '867', '489', '697', '924', '169', '931', '472', '835', '178', '958', '193', '842', '103', '574', '752', '339', '727', '371']
['245', '679', '724', '638', '874', '895', '318', '308', '722', '630', '39', '648', '523', '179', '631', '982', '201', '266', '403', '340']
['247', '726', '49', '567', '798', '385', '92', '925', '864', '428', '393', '97', '978', '877', '260', '109', '767', '520', '987', '596']
['25', '190', '860', '298', '968', '59', '828', '685', '491', '236', '265', '267', '913', '903', '908', '164', '77', '897', '847', '461']
['258', '814', '180', '98', '737', '961', '89', '855', '346', '501', '641', '95', '141', '590', '561', '565', '588', '936', '9', '674']
['294', '989', '818', '118', '797', '285', '676', '250', '817', '172', '510', '440', '620', '525', '922', '886', '765', '708', '970', '412']
['344', '241', '821', '597', '594', '15', '992', '233', '68', '63', '269', '930', '744', '387', '746', '192', '495', '591', '802', '900']
['364', '549', '611', '90', '947', '365', '517', '621', '945', '844', '470', '736', '357', '381', '356', '663', '756', '474', '787', '150']
['411', '778', '186', '508', '53', '759', '4', '923', '72', '888', '951', '79', '392', '738', '134', '974', '99', '626', '230', '670']
['445', '67', '571', '107', '504', '529', '156', '121', '232', '391', '396', '376', '271', '3', '292', '52', '62', '321', '325', '837']
['465', '919', '599', '287', '202', '433', '436', '407', '409', '302', '846', '307', '110', '526', '83', '969', '27', '484', '558', '772']
['5', '451', '303', '430', '502', '284', '34', '481', '906', '703', '658', '355', '304', '44', '699', '457', '880', '19', '273', '830']
['598', '808', '88', '550', '957', '406', '622', '608', '559', '921', '892', '221', '586', '805', '613', '361', '334', '415', '779', '650']
