['0', '3', '7', '27', '30', '40', '44', '53', '55', '56', '64', '69', '70', '73', '79', '87', '105', '289', '6', '14', '15', '29', '33']
['106', '117', '119', '120', '121', '124', '137', '146', '147', '149', '167', '175', '188', '198', '204', '217', '223', '224', '237', '254', '264', '16', '67']
['122', '128', '139', '144', '195', '212', '225', '229', '253', '256', '274', '320', '325', '342', '349', '373', '76', '165', '169', '177', '178', '179', '186']
['138', '153', '171', '185', '219', '220', '251', '310', '317', '19', '23', '36', '41', '45', '58', '59', '60', '83', '84', '89', '94', '102', '103']
['151', '173', '190', '203', '209', '233', '12', '135', '155', '162', '181', '189', '271', '199', '201', '11', '49', '148', '231', '17', '65', '247', '2']
['210', '211', '227', '232', '234', '238', '239', '246', '249', '259', '260', '263', '275', '276', '278', '296', '306', '311', '328', '334', '359', '374', '379']
['221', '230', '235', '272', '277', '282', '292', '299', '304', '319', '332', '340', '380', '389', '400', '409', '411', '446', '455', '458', '257', '313', '327']
['228', '236', '245', '262', '267', '283', '284', '288', '303', '308', '312', '335', '339', '351', '358', '361', '367', '377', '382', '412', '133', '192', '208']
['337', '347', '348', '352', '368', '385', '403', '405', '408', '449', '285', '293', '305', '324', '333', '338', '363', '369', '371', '383', '391', '419', '423']
['35', '51', '31', '37', '46', '24', '93', '50', '92', '101', '62', '80', '110', '134', '154', '168', '123', '183', '85', '205', '222', '126', '170']
['39', '66', '72', '75', '77', '99', '107', '109', '113', '118', '141', '160', '163', '176', '307', '323', '354', '4', '18', '28', '32', '34', '43']
['428', '91', '140', '164', '196', '214', '226', '240', '244', '269', '273', '279', '297', '309', '321', '329', '344', '407', '174', '182', '194', '197', '206']
['432', '436', '442', '445', '447', '448', '463', '464', '302', '353', '384', '387', '417', '424', '434', '456', '457', '459', '465', '466', '468', '469', '470']
['439', '454', '473', '476', '477', '483', '487', '490', '491', '494', '207', '82', '130', '38', '150', '193', '360', '401', '54', '261', '125', '156', '184']
['495', '200', '213', '216', '301', '314', '336', '172', '248', '281', '286', '287', '290', '295', '322', '355', '362', '364', '378', '393', '142', '270', '413']
['496', '241', '242', '315', '316', '326', '365', '370', '386', '399', '416', '258', '266', '280', '294', '330', '343', '356', '357', '372', '381', '390', '395']
['497', '396', '415', '431', '451', '453', '265', '318', '346', '366', '388', '394', '397', '402', '406', '410', '414', '420', '422', '426', '430', '444', '452']
['498', '331', '392', '398', '404', '418', '421', '425', '427', '429', '438', '440', '443', '460', '462', '471', '472', '474', '475', '478', '376', '433', '435']
['499', '437', '441', '450', '461', '467', '479', '480', '481', '482', '484', '485', '486', '488', '489', '492', '493']
['52', '61', '68', '88', '95', '96', '100', '116', '127', '132', '145', '152', '202', '341', '350', '1', '21', '63', '71', '81', '108', '111', '136']
['9', '42', '114', '218', '291', '13', '20', '22', '48', '74', '86', '97', '252', '255', '5', '8', '10', '25', '26', '47', '78', '112', '243']
['90', '115', '129', '131', '143', '157', '158', '159', '161', '166', '180', '187', '191', '215', '250', '268', '298', '300', '345', '375', '57', '98', '104']
