['0', '1', '8', '18', '12', '15', '16', '9', '14', '19', '10', '22', '2', '7', '26', '32', '25', '5', '11', '40', '21', '3', '52']
['100', '109', '84', '91', '136', '107', '71', '97', '86', '115', '121', '96', '105', '127', '79', '101', '106', '114', '81', '87', '102', '120', '128']
['138', '131', '126', '140', '112', '134', '137', '149', '116', '95', '108', '117', '125', '146', '155', '119', '122', '129', '143', '145', '135', '123', '141']
['152', '165', '170', '169', '192', '177', '179', '182', '194', '162', '201', '202', '176', '184', '190', '196', '174', '181', '185', '211', '209', '200', '183']
['160', '133', '139', '166', '111', '154', '113', '148', '163', '132', '147', '118', '142', '157', '161', '153', '150', '151', '156', '172', '186', '159', '164']
['173', '203', '168', '187', '204', '214', '227', '195', '212', '210', '222', '193', '191', '218', '199', '215', '224', '225', '234', '231', '219', '223', '249']
['206', '242', '216', '220', '207', '229', '213', '236', '245', '238', '246', '248', '250', '241', '221', '233', '239', '232', '257', '256', '261', '267', '235']
['24', '4', '13', '17', '50', '34', '35', '54', '61', '41', '55', '20', '27', '39', '47', '6', '56', '44', '46', '53', '62', '28', '29']
['251', '262', '253', '271', '278', '268', '287', '258', '263', '279', '280', '254', '264', '247', '266', '284', '265', '272', '273', '274', '282', '297', '295']
['281', '270', '302', '276', '283', '291', '296', '303', '286', '277', '301', '289', '299', '290', '314', '300', '318', '307', '309', '317', '298', '293', '310']
['328', '305', '315', '304', '336', '312', '329', '322', '327', '320', '330', '348', '347', '342', '344', '341', '353', '345', '346', '352', '363', '349', '354']
['36', '30', '43', '72', '23', '38', '48', '64', '89', '60', '77', '33', '80', '57', '59', '51', '83', '74', '78', '42', '69', '31', '65']
['366', '357', '368', '371', '358', '370', '374', '375', '380', '381', '385', '378', '384', '379', '394', '412', '389', '402', '414', '393', '400', '401', '407']
['396', '405', '408', '409', '417', '416', '406', '429', '422', '433', '442', '463', '470', '459', '462', '457', '471', '465', '461', '469', '486', '58', '104']
['493', '144', '124', '167', '171', '158', '178', '180', '189', '175', '197', '205', '188', '208', '198', '240', '243', '217', '228', '244', '226', '230', '255']
['494', '237', '260', '252', '259', '275', '288', '285', '294', '269', '292', '306', '321', '325', '308', '313', '326', '316', '319', '323', '333', '343', '311']
['495', '331', '339', '324', '338', '334', '337', '362', '335', '332', '340', '355', '359', '356', '360', '364', '350', '351', '372', '377', '361', '365', '373']
['496', '367', '369', '376', '395', '383', '382', '398', '386', '391', '387', '388', '392', '399', '403', '397', '410', '404', '413', '415', '390', '423', '411']
['497', '424', '419', '426', '432', '427', '418', '421', '425', '431', '420', '443', '430', '437', '446', '435', '439', '440', '444', '428', '436', '434', '450']
['498', '438', '441', '447', '445', '453', '449', '454', '451', '452', '448', '458', '460', '464', '455', '466', '467', '468', '472', '456', '473', '474', '476']
['499', '475', '477', '480', '481', '478', '479', '484', '482', '483', '488', '485', '487', '491', '489', '490', '492']
['75', '93', '45', '73', '49', '70', '66', '99', '37', '68', '76', '94', '67', '90', '85', '92', '103', '110', '82', '88', '98', '130', '63']
