['1', '6', '11', '16', '21']
['101', '106', '111', '116', '121']
['103', '104', '107', '108', '109']
['112', '113', '114', '117', '118']
['119', '122', '123', '124', '127']
['12', '13', '14', '17', '18']
['126', '131', '136', '141', '146']
['128', '129', '132', '133', '134']
['137', '138', '139', '142', '143']
['144', '147', '148', '149', '152']
['151', '156', '161', '166', '171']
['153', '154', '157', '158', '159']
['162', '163', '164', '167', '168']
['169', '172', '173', '174', '177']
['176', '181', '186', '191', '196']
['178', '179', '182', '183', '184']
['187', '188', '189', '192', '193']
['19', '22', '23', '24', '27']
['194', '197', '198', '199', '202']
['201', '206', '211', '216', '221']
['203', '204', '207', '208', '209']
['212', '213', '214', '217', '218']
['219', '222', '223', '224', '227']
['225', '5', '10', '15', '20']
['226', '231', '236', '241', '2']
['228', '229', '232', '233', '234']
['230', '25', '30', '35', '40']
['235', '45', '50', '55', '60']
['237', '238', '239', '242', '243']
['240', '65', '70', '75', '80']
['244', '85', '90', '95', '100']
['245', '105', '110', '115', '120']
['246', '125', '130', '135', '140']
['247', '145', '150', '155', '160']
['248', '165', '170', '175', '180']
['249', '185', '190', '195', '200']
['250', '205', '210', '215', '220']
['26', '31', '36', '41', '46']
['28', '29', '32', '33', '34']
['3', '4', '7', '8', '9']
['37', '38', '39', '42', '43']
['44', '47', '48', '49', '52']
['51', '56', '61', '66', '71']
['53', '54', '57', '58', '59']
['62', '63', '64', '67', '68']
['69', '72', '73', '74', '77']
['76', '81', '86', '91', '96']
['78', '79', '82', '83', '84']
['87', '88', '89', '92', '93']
['94', '97', '98', '99', '102']
